Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Payment,Rating,Sales
INV0001,2026-01-01,D,Bengaluru,Normal,Male,Tomato,Vegetables,7,42.94,Net Banking,5.0,300.58
INV0002,2026-01-01,D,Bengaluru,Member,Male,Noodles,Grocery,10,51.32,Net Banking,3.4,513.2
INV0003,2026-01-01,C,Mumbai,Member,Female,Chips,Snacks,6,35.53,Net Banking,3.0,213.18
INV0004,2026-01-02,A,Jaipur,Member,Female,Cheese,Dairy,9,231.28,Card,3.1,2081.52
INV0005,2026-01-02,C,Mumbai,Normal,Male,Biscuits,Snacks,2,30.41,Card,4.1,60.82
INV0006,2026-01-02,B,Delhi,Member,Male,Milk,Dairy,2,54.56,UPI,4.0,109.12
INV0007,2026-01-02,A,Jaipur,Member,Female,Soap,Personal Care,7,44.17,UPI,3.9,309.19
INV0008,2026-01-03,C,Mumbai,Normal,Male,Potato,Vegetables,1,33.42,Card,3.6,33.42
INV0009,2026-01-03,C,Mumbai,Member,Male,Bread,Bakery,10,38.9,UPI,4.9,389.0
INV0010,2026-01-03,C,Mumbai,Member,Female,Milk,Dairy,8,53.94,Cash,3.7,431.52
INV0011,2026-01-04,B,Delhi,Member,Female,Cheese,Dairy,9,223.15,Net Banking,3.6,2008.35
INV0012,2026-01-04,C,Mumbai,Member,Female,Coffee,Beverages,1,177.61,UPI,4.3,177.61
INV0013,2026-01-05,D,Bengaluru,Member,Male,Cheese,Dairy,9,221.83,Card,3.9,1996.47
INV0014,2026-01-05,B,Delhi,Normal,Male,Soap,Personal Care,3,48.13,Net Banking,4.8,144.39
INV0015,2026-01-05,C,Mumbai,Normal,Male,Chocolate,Snacks,4,53.2,UPI,3.7,212.8
INV0016,2026-01-06,D,Bengaluru,Normal,Male,Tea,Beverages,1,117.33,Net Banking,3.5,117.33
INV0017,2026-01-06,B,Delhi,Normal,Female,Bananas,Fruits,1,64.2,UPI,3.2,64.2
INV0018,2026-01-07,A,Jaipur,Normal,Male,Bananas,Fruits,5,62.07,UPI,4.3,310.35
INV0019,2026-01-07,D,Bengaluru,Normal,Male,Chips,Snacks,4,36.4,Net Banking,3.4,145.6
INV0020,2026-01-07,B,Delhi,Member,Male,Noodles,Grocery,4,53.71,Net Banking,3.5,214.84
INV0021,2026-01-07,B,Delhi,Member,Male,Chocolate,Snacks,8,52.53,Cash,4.3,420.24
INV0022,2026-01-07,D,Bengaluru,Member,Male,Milk,Dairy,7,55.6,UPI,4.1,389.2
INV0023,2026-01-07,B,Delhi,Normal,Male,Tea,Beverages,8,117.43,Net Banking,3.8,939.44
INV0024,2026-01-08,D,Bengaluru,Normal,Female,Chips,Snacks,4,35.28,UPI,3.3,141.12
INV0025,2026-01-09,D,Bengaluru,Member,Female,Bread,Bakery,1,41.78,Net Banking,3.2,41.78
INV0026,2026-01-09,A,Jaipur,Member,Female,Bread,Bakery,7,42.06,Cash,3.0,294.42
INV0027,2026-01-09,C,Mumbai,Member,Female,Coffee,Beverages,3,177.29,Net Banking,3.5,531.87
INV0028,2026-01-10,C,Mumbai,Normal,Male,Soap,Personal Care,5,45.57,UPI,3.4,227.85
INV0029,2026-01-10,A,Jaipur,Member,Male,Cheese,Dairy,3,231.01,Card,4.3,693.03
INV0030,2026-01-10,C,Mumbai,Member,Male,Bananas,Fruits,4,62.9,Net Banking,4.7,251.6
INV0031,2026-01-11,C,Mumbai,Member,Female,Tea,Beverages,1,127.64,Card,4.7,127.64
INV0032,2026-01-11,C,Mumbai,Normal,Male,Chips,Snacks,9,33.14,UPI,3.0,298.26
INV0033,2026-01-12,B,Delhi,Member,Female,Bread,Bakery,7,41.49,Net Banking,3.7,290.43
INV0034,2026-01-12,C,Mumbai,Member,Male,Tea,Beverages,9,118.78,Card,4.4,1069.02
INV0035,2026-01-12,C,Mumbai,Member,Female,Shampoo,Personal Care,2,168.27,Card,4.5,336.54
INV0036,2026-01-12,C,Mumbai,Member,Female,Cheese,Dairy,1,219.6,Card,3.0,219.6
INV0037,2026-01-12,D,Bengaluru,Member,Male,Noodles,Grocery,4,56.24,Cash,4.4,224.96
INV0038,2026-01-14,A,Jaipur,Member,Male,Tea,Beverages,3,122.35,UPI,4.7,367.05
INV0039,2026-01-14,B,Delhi,Member,Male,Potato,Vegetables,1,37.08,Net Banking,3.7,37.08
INV0040,2026-01-15,A,Jaipur,Member,Male,Soap,Personal Care,2,43.27,Card,4.1,86.54
INV0041,2026-01-15,D,Bengaluru,Member,Female,Bananas,Fruits,4,64.1,Net Banking,4.3,256.4
INV0042,2026-01-15,A,Jaipur,Member,Male,Rice,Grocery,10,73.76,UPI,4.1,737.6
INV0043,2026-01-16,D,Bengaluru,Member,Female,Tomato,Vegetables,1,44.8,UPI,4.0,44.8
INV0044,2026-01-16,B,Delhi,Normal,Male,Milk,Dairy,10,58.17,Net Banking,3.6,581.7
INV0045,2026-01-16,A,Jaipur,Normal,Male,Chocolate,Snacks,10,52.92,Net Banking,4.0,529.2
INV0046,2026-01-16,D,Bengaluru,Normal,Male,Coffee,Beverages,8,177.8,UPI,3.8,1422.4
INV0047,2026-01-17,A,Jaipur,Member,Male,Noodles,Grocery,3,54.43,Card,3.7,163.29
INV0048,2026-01-17,B,Delhi,Normal,Female,Face Wash,Personal Care,1,120.74,UPI,3.9,120.74
INV0049,2026-01-17,C,Mumbai,Member,Male,Noodles,Grocery,3,51.31,Cash,3.8,153.93
INV0050,2026-01-17,D,Bengaluru,Member,Male,Apples,Fruits,1,138.61,Net Banking,3.9,138.61
INV0051,2026-01-17,B,Delhi,Member,Male,Cheese,Dairy,7,223.64,UPI,3.8,1565.48
INV0052,2026-01-17,B,Delhi,Member,Female,Biscuits,Snacks,10,31.42,UPI,4.4,314.2
INV0053,2026-01-18,B,Delhi,Normal,Female,Cold Drink,Beverages,10,67.97,Net Banking,4.1,679.7
INV0054,2026-01-19,B,Delhi,Member,Female,Chocolate,Snacks,8,53.29,Net Banking,3.2,426.32
INV0055,2026-01-19,B,Delhi,Member,Male,Cold Drink,Beverages,3,66.38,Net Banking,3.3,199.14
INV0056,2026-01-19,D,Bengaluru,Normal,Female,Bread,Bakery,5,40.05,UPI,4.5,200.25
INV0057,2026-01-19,D,Bengaluru,Member,Female,Rice,Grocery,3,72.93,UPI,3.8,218.79
INV0058,2026-01-21,B,Delhi,Member,Female,Potato,Vegetables,7,34.03,Card,3.9,238.21
INV0059,2026-01-21,D,Bengaluru,Normal,Male,Tomato,Vegetables,1,45.35,Net Banking,3.7,45.35
INV0060,2026-01-21,C,Mumbai,Member,Male,Tomato,Vegetables,8,45.32,Net Banking,4.0,362.56
INV0061,2026-01-21,B,Delhi,Normal,Female,Cold Drink,Beverages,5,67.2,Card,5.0,336.0
INV0062,2026-01-22,C,Mumbai,Normal,Male,Milk,Dairy,2,55.22,Card,3.0,110.44
